planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,predicted_fauna,predicted_flora,fauna_result,flora_result,planet_resources_inorganics,planet_resources_organics,planet_animal_farm_resources,planet_plant_farm_resources,planet_inorganic_resources_count,planet_organic_resources_count,planet_animal_farm_resources_count,planet_plant_farm_resources_count,o2,temperature degree reading,condition,ok for 0 hab skill,temperature_atmosphere,type_body_magnetosphere,predict_irradiation
Fundament,,Fundament,Barren,Moon,Barren Moon,Delta Pavonis,25,0.04,Deep freeze,None,None,None,,0,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,,3,0.5022,1,1,1,-3,-3,0*,0*,,,,,0,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Gamow,,Gamow,Rock,Planet,Rock Planet,Delta Pavonis,25,0.84,Frozen,Std N2,Average,Chemical,"Cl,Co,Fe,H2O,HnCn,Li,Ni,SiH3Cl",8,None,None,"Hills,Mountains,Polar-Ice","Hills,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,Fe,4,0.2787,2,4,3,-1,-2,0,0,"Cl,Co,Fe,H2O,HnCn,Li,Ni,SiH3Cl",,,,8,0,0,0,0%,-85,"Ambient Cold, Rain",Yes,Frozen Std N2,Rock Planet Average,0
Herald,,Herald,Barren,Moon,Barren Moon,Delta Pavonis,25,0.19,Deep freeze,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,0.5022,1,1,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Itsy,,Itsy,Asteroid,Moon,Asteroid Moon,Delta Pavonis,25,0.05,Cold,None,None,None,,0,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,,1,0.0000,1,1,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Cold None,Asteroid Moon None,0
Magnar,,Magnar,Rock,Planet,Rock Planet,Delta Pavonis,25,1.21,Temperate,Extr M,Weak,Safe,"Ag,Ah,Al,Ar,Be,Bi,Cc,Co,Fi,H2O,MA,Me,Ni,Nu,OM,Pb,Se,Tx",18,Marginal (6),Marginal (4),"Archipelago,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Hills,Mountains,Ocean,Ice,Savanna",Unknown,75.0%,Yes,0,2,0,0,"Al,Se",4,0.0089,5,3,6,6,3,6,4,"Ag,Al,Ar,Be,Co,H2O,Ni,Pb","Ah,Bi,Cc,Fi,Me,MA,Nu,OM,Se,Tx","Cc,Fi,Me,MA,Nu,OM,Se","Ah,Bi,Tx",8,10,7,3,0%,40,None,No,Temperate Extr M,Rock Planet Weak,0
Nascent,,Nascent,Barren,Planet,Barren Planet,Delta Pavonis,25,0.53,Deep freeze,None,Very strong,None,"Fe,He-3",2,None,None,Cratered,Craters,None,58.3%,No,1,0,0,0,Fe,3,0.5022,1,6,1,-4,-4,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Planet Very strong,0
Ohm,,Ohm,Ice,Moon,Ice Moon,Delta Pavonis,25,0.05,Deep freeze,None,None,Chemical,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Rudiment,,Rudiment,Barren,Moon,Barren Moon,Delta Pavonis,25,0.12,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,0.5022,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Volt,,Volt,Rock,Moon,Rock Moon,Delta Pavonis,25,0.42,Deep freeze,None,None,Chemical,"Cu,Fe,H2O,Ni,U,Yb",6,None,None,"Desert-Rocky,Ocean,Polar-Ice,SavannahBarren","Desert,Ice,Mountains",Unknown,66.7%,Yes,1,0,0,0,Fe,4,0.5022,1,1,3,-2,-3,0,0,"Cu,Fe,H2O,Ni,U,Yb",,,,6,0,0,0,0%,-214,Ambient Cold,No,Deep freeze None,Rock Moon None,0
Worthless,,Worthless,Barren,Moon,Barren Moon,Delta Pavonis,25,0.19,Cold,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Cold None,Barren Moon None,0
Delta Vulpes I,,DeltaVulpesI,Hot gas giant,Planet,Hot gas giant Planet,Delta Vulpes,50,2.55,Inferno,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,1.0000,3,3,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Inferno H2,Hot gas giant Planet Weak,1
Delta Vulpes II,,DeltaVulpesII,Rock,Planet,Rock Planet,Delta Vulpes,50,0.76,Frozen,Thin N2,Average,Safe,"Co,Fe,H2O,Ni",4,Unknown,Unknown,"Hills,Mountains,Polar-Ice","Hills,Mountains,Ice",Unknown,58.3%,Yes,0,0,0,0,Fe,4,0.2787,2,4,6,4,2,4*,2*,"Co,Fe,H2O,Ni",,,,4,0,0,0,,,,,Frozen Thin N2,Rock Planet Average,0
Delta Vulpes III,,DeltaVulpesIII,Barren,Planet,Barren Planet,Delta Vulpes,50,0.47,Frozen,None,Very weak,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,2,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Frozen None,Barren Planet Very weak,0
Delta Vulpes III-a,,DeltaVulpesIIIa,Barren,Moon,Barren Moon,Delta Vulpes,50,0.17,Frozen,None,None,None,"Fe,He-3,Ta",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.2787,1,1,1,-3,-3,0*,0*,"Fe,He-3,Ta",,,,3,0,0,0,,,,,Frozen None,Barren Moon None,0
Delta Vulpes IV,,DeltaVulpesIV,Gas giant,Planet,Gas giant Planet,Delta Vulpes,50,2.67,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Strong,0
Delta Vulpes IV-a,,DeltaVulpesIVa,Ice,Moon,Ice Moon,Delta Vulpes,50,0.24,Deep freeze,None,None,Safe,"H2O,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Ni",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Delta Vulpes V,,DeltaVulpesV,Gas giant,Planet,Gas giant Planet,Delta Vulpes,50,6.15,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Massive,0
Delta Vulpes V-a,,DeltaVulpesVa,Ice,Moon,Ice Moon,Delta Vulpes,50,0.16,Deep freeze,None,None,Chemical,"Ar,C6Hn,H2O,R-COC",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Ar,C6Hn,H2O,R-COC",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Delta Vulpes V-b,,DeltaVulpesVb,Ice,Moon,Ice Moon,Delta Vulpes,50,0.03,Deep freeze,None,None,Chemical,"Ar,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Ar,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Delta Vulpes V-c,,DeltaVulpesVc,Rock,Moon,Rock Moon,Delta Vulpes,50,0.38,Deep freeze,Thin CO2,Very weak,Safe,"Al,Cl,Cu,Fe,H2O,He-3,Nu,Se,SM,U,xF4",11,Unknown,Unknown,"Archipelago,Cratered,Mountains,Ocean,Polar-Ice","Craters,Mountains,Ocean,Ice",Unknown,58.3%,Yes,1,0,0,0,"Al,Fe,Se",4,0.5022,4,2,6,3,1,3*,1*,"Al,Cl,Cu,Fe,H2O,He-3,U,xF4","Nu,Se,SM",SM,"Nu,Se",8,3,1,2,,,,,Deep freeze Thin CO2,Rock Moon Very weak,0
Delta Vulpes V-d,,DeltaVulpesVd,Ice,Moon,Ice Moon,Delta Vulpes,50,0.14,Deep freeze,None,None,Chemical,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Delta Vulpes V-e,,DeltaVulpesVe,Ice,Moon,Ice Moon,Delta Vulpes,50,0.06,Deep freeze,None,None,Safe,"Ar,C6Hn,H2O,Ne",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Ar,C6Hn,H2O,Ne",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Delta Vulpes VI,,DeltaVulpesVI,Ice giant,Planet,Ice giant Planet,Delta Vulpes,50,1.49,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,3,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Weak,0
Delta Vulpes VI-a,,DeltaVulpesVIa,Ice,Moon,Ice Moon,Delta Vulpes,50,0.15,Deep freeze,None,None,Chemical,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Delta Vulpes VII,,DeltaVulpesVII,Barren,Planet,Barren Planet,Delta Vulpes,50,0.52,Deep freeze,None,Weak,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,0.5022,1,3,1,-4,-3,0*,0*,"Fe,He-3,HnCn",,,,3,0,0,0,,,,,Deep freeze None,Barren Planet Weak,0
Denebola I,,DenebolaI,Hot gas giant,Planet,Hot gas giant Planet,Denebola,30,1.85,Scorched,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,0,0,0,0,,2,0.3875,3,4,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Scorched H2,Hot gas giant Planet Average,0
Denebola I-a,,DenebolaIa,Barren,Moon,Barren Moon,Denebola,30,0.16,Scorched,None,None,None,"Al,He-3",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,50.0%,No,0,0,0,0,Al,3,0.3875,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Scorched None,Barren Moon None,1
Denebola I-b,,DenebolaIb,Rock,Moon,Rock Moon,Denebola,30,0.64,Temperate,Std M,Weak,Chemical,"Ag,Am,Cu,Fe,Fi,H2O,He-3,Hy,Ir,Me,Nu,Pb,Se,SM,Tx,U",16,Marginal (5),Marginal (3),"Archipelago,Hills,Mountains,Ocean,Polar-Ice","Hills,Mountains,Ocean,Ice",Unknown,75.0%,Yes,0,0,3,0,"Fe,Se",4,0.0089,5,3,3,1,0,5,3,"Ag,Cu,Fe,H2O,He-3,Ir,Pb,U","Am,Fi,Hy,Me,Nu,Se,SM,Tx","Se,SM,Tx","Am,Fi,Hy,Me,Nu",8,8,3,5,,,,,Temperate Std M,Rock Moon Weak,0
Denebola II,,DenebolaII,Gas giant,Planet,Gas giant Planet,Denebola,30,3.89,Frozen,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,0,0,0,4,,2,0.2787,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Frozen H2,Gas giant Planet Extreme,0
Denebola II-a,,DenebolaIIa,Rock,Moon,Rock Moon,Denebola,30,0.37,Frozen,Thin CO2,None,Chemical,"Al,Cl,Fe,H2O,He-3,Li,SiH3Cl,U",8,None,None,"Cratered,Hills,Mountains,Polar-Ice,SavannahBarren","Craters,Hills,Mountains,Ice,Savanna",Unknown,66.7%,Yes,0,0,0,0,"Al,Fe",4,0.2787,4,1,3,0,-1,0,0,"Al,Cl,Fe,H2O,He-3,Li,SiH3Cl,U",,,,8,0,0,0,,,,,Frozen Thin CO2,Rock Moon None,0
Denebola III,,DenebolaIII,Gas giant,Planet,Gas giant Planet,Denebola,30,5.85,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Massive,0
Denebola III-a,,DenebolaIIIa,Rock,Moon,Rock Moon,Denebola,30,0.41,Frozen,Thin M,None,Chemical,"Cl,Fe,H2O,He-3,HnCn,SiH3Cl,Ta,Yb",8,Unknown,Unknown,"Cratered,Mountains,Polar-Ice","Craters,Mountains,Ice",Unknown,58.3%,Yes,0,0,0,0,Fe,4,0.2787,5,1,3,0,-1,0*,0*,"Cl,Fe,H2O,He-3,HnCn,SiH3Cl,Ta,Yb",,,,8,0,0,0,,,,,Frozen Thin M,Rock Moon None,0
Denebola III-b,,DenebolaIIIb,Ice,Moon,Ice Moon,Denebola,30,0.10,Deep freeze,None,None,Chemical,"Cl,H2O,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cl,H2O,SiH3Cl",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Enlil I,,EnlilI,Rock,Planet,Rock Planet,Enlil,65,1.63,Scorched,Extr CO2,Very strong,None,"Co,Ni,Pb,Pt,U",5,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Hills,Mountains","Desert,Hills,Mountains",Unknown,50.0%,No,0,2,0,0,,4,0.3875,4,6,1,-3,-3,0*,0*,"Co,Ni,Pb,Pt,U",,,,5,0,0,0,,,,,Scorched Extr CO2,Rock Planet Very strong,0
Enlil I-a,,EnlilIa,Rock,Moon,Rock Moon,Enlil,65,0.64,Inferno,Std O2,Average,None,"Co,Ir,Ni,Pb,Sd,SM,Tx,U",8,Primordial (3),None,"Archipelago,Forest,Hills,Mountains,Ocean,Polar-Ice","Forest,Hills,Mountains,Ocean,Ice",Unknown,66.7%,No,1,0,0,0,,4,1.0000,6,4,1,-2,-2,3,0,"Co,Ir,Ni,Pb,U","Sd,SM,Tx",,"Sd,SM,Tx",5,3,0,3,18%,251,Ambient Heat,No,Inferno Std O2,Rock Moon Average,0
Enlil II,,EnlilII,Rock,Planet,Rock Planet,Enlil,65,0.69,Temperate,Std M,Very strong,Heavy metal,"Ae,Al,Be,Bi,Cc,Cl,Fe,Fi,H2O,Ha,HnCn,MA,Nu,Sd,SiH3Cl,SM,Sp,Ta,Tx",19,Unknown,Unknown,"Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Forest,Mountains,Ocean,Ice,Savanna",Unknown,91.7%,Yes,0,0,3,0,"Ae,Al,Fe",4,0.0089,5,6,2,0,-1,0*,0*,"Al,Be,Cl,Fe,H2O,HnCn,SiH3Cl,Ta","Ae,Bi,Cc,Fi,Ha,MA,Nu,Sd,Sp,SM,Tx",Nu,"Ae,Bi,Cc,Fi,Ha,MA,Sd,Sp,SM,Tx",8,11,1,10,,,,,Temperate Std M,Rock Planet Very strong,0
Enlil II-a,,EnlilIIa,Barren,Moon,Barren Moon,Enlil,65,0.06,Temperate,None,None,None,,0,Unknown,Unknown,Cratered,Craters,Unknown,66.7%,No,0,0,0,0,,3,0.0089,1,1,1,-3,-3,0*,0*,,,,,0,0,0,0,,,,,Temperate None,Barren Moon None,0
Enlil III,,EnlilIII,Rock,Planet,Rock Planet,Enlil,65,0.53,Cold,Std CO2,Average,Safe,"Ar,C6Hn,Cl,Fe,H2O,HnCn,Ni,Ta",8,Unknown,Unknown,"Hills,Mountains,Polar-Ice,SavannahBarren","Hills,Mountains,Ice,Savanna",Unknown,58.3%,Yes,0,0,0,0,Fe,4,0.0000,4,4,6,6,3,6*,3*,"Ar,C6Hn,Cl,Fe,H2O,HnCn,Ni,Ta",,,,8,0,0,0,,,,,Cold Std CO2,Rock Planet Average,0
Enlil IV,,EnlilIV,Rock,Planet,Rock Planet,Enlil,65,1.24,Frozen,Std M,Average,Safe,"Ar,C6Hn,H2O,Pb",4,Unknown,Unknown,"Desert-Rocky,Polar-Ice","Desert,Ice",Unknown,58.3%,Yes,0,0,0,0,,4,0.2787,5,4,6,6,3,6*,3*,"Ar,C6Hn,H2O,Pb",,,,4,0,0,0,,,,,Frozen Std M,Rock Planet Average,0
Enlil IV-a,,EnlilIVa,Barren,Moon,Barren Moon,Enlil,65,0.11,Frozen,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Frozen None,Barren Moon None,0
Enlil V,,EnlilV,Rock,Planet,Rock Planet,Enlil,65,0.65,Frozen,Std N2,Very strong,Chemical,"Cu,F,H2O,Ir,U,V",6,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savanna",Unknown,58.3%,Yes,0,0,0,0,,4,0.2787,2,6,3,0,-1,0*,0*,"Cu,F,H2O,Ir,U,V",,,,6,0,0,0,,,,,Frozen Std N2,Rock Planet Very strong,0
Enlil VI,,EnlilVI,Gas giant,Planet,Gas giant Planet,Enlil,65,2.46,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Strong,0
Enlil VI-a,,EnlilVIa,Ice,Moon,Ice Moon,Enlil,65,0.30,Deep freeze,None,None,Safe,"Ar,H2O,Ne",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Ar,H2O,Ne",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Enlil VI-b,,EnlilVIb,Rock,Moon,Rock Moon,Enlil,65,0.57,Temperate,Thin M,None,Biological,"Au,Cu,F,H2O,Ni,Pb,U,W",8,None,None,"Archipelago,Forest,Hills,Ocean,Polar-Ice,SavannahBarren,Wetlands","Desert,Hills,Ocean,Ice,Swamp,Wetlands",Unknown,100.0%,Yes,0,0,0,0,,4,0.0089,5,1,5,3,1,0,0,"Au,Cu,F,H2O,Ni,Pb,U,W",,,,8,0,0,0,0%,22,Solar Radiation,Yes,Temperate Thin M,Rock Moon None,0
Enlil VI-c,,EnlilVIc,Ice,Moon,Ice Moon,Enlil,65,0.08,Deep freeze,None,None,Safe,"Au,Cu,F,H2O",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Au,Cu,F,H2O",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Enlil VI-d,,EnlilVId,Ice,Moon,Ice Moon,Enlil,65,0.03,Deep freeze,None,None,Chemical,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Enlil VII,,EnlilVII,Ice giant,Planet,Ice giant Planet,Enlil,65,0.97,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,3,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Weak,0
Enlil VII-a,,EnlilVIIa,Barren,Moon,Barren Moon,Enlil,65,0.43,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,0.5022,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Eridani I,,EridaniI,Rock,Planet,Rock Planet,Eridani,20,0.77,Inferno,Extr CO2,Powerful,None,"Cl,U",2,None,None,"Desert-Rocky,SavannahBarren,Volcanic","Desert,Savanna,Volcanic","Emerging Tectonics,Energetic Rifting,Prismatic Plumes",58.3%,No,1,2,0,0,,4,1.0000,4,7,1,-3,-3,0,0,"Cl,U",,,,2,0,0,0,0%,476,"Ambient Heat, Corrosive",No,Inferno Extr CO2,Rock Planet Powerful,0
Eridani II,,EridaniII,Rock,Planet,Rock Planet,Eridani,20,0.86,Temperate,Std O2,Average,Safe,"Au,Cl,Co,Cu,F,Fe,Fi,H2O,MA,Me,Ni,Nu,Pi,Se,SM,Tx",16,Moderate (7),Moderate (7),"Desert-Rocky,Forest,Hills,Mountains,Ocean,Polar-Ice","Desert,Forest,Hills,Ice,Mountains,Ocean",Unknown,91.7%,Yes,0,0,0,0,"Fe,Pi,Se",4,0.0089,6,4,6,7,4,7,7,"Au,Cl,Co,Cu,F,Fe,H2O,Ni","Fi,Me,MA,Nu,Pi,Se,SM,Tx","Me,Pi,SM","Fi,MA,Nu,Se,Tx",8,8,3,5,21%,32,Sandstorm,Yes,Temperate Std O2,Rock Planet Average,0
Eridani III,,EridaniIII,Rock,Planet,Rock Planet,Eridani,20,1.94,Temperate,Std O2,Average,Heavy metal,"AA,Am,Ar,Cc,Fi,H2O,Ir,MA,Nu,Pi,Pu,Se,SM,St,Tx,U,V",17,Abundant (6),Abundant (5),"Desert-Sandy,Ocean,Polar-Ice","Desert,Ocean,Ice",Unknown,75.0%,Yes,0,0,0,0,"Pi,Se",4,0.0089,6,4,2,0,-1,6,5,"Ar,H2O,Ir,Pu,U,V","AA,Am,Cc,Fi,MA,Nu,Pi,Se,St,SM,Tx","Cc,Se","AA,Am,Fi,MA,Nu,Pi,St,SM,Tx",6,11,2,9,24%,0,None,Yes,Temperate Std O2,Rock Planet Average,0
Eridani III-a,,EridaniIIIa,Barren,Moon,Barren Moon,Eridani,20,0.20,Temperate,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Craters,Unknown,66.7%,No,0,0,0,0,Fe,3,0.0089,1,1,1,-3,-3,0*,0*,"Fe,He-3,HnCn",,,,3,0,0,0,,,,,Temperate None,Barren Moon None,0
Eridani III-b,,EridaniIIIb,Rock,Moon,Rock Moon,Eridani,20,0.41,Temperate,Thin CO2,None,Safe,"Cl,Fe,H2O,He-3,Ir,Ni,U,V",8,None,None,"Cratered,Desert-Rocky,Desert-Sandy,Polar-Ice","Craters,Desert,Ice",Solar Storm Seasons Gravitational Anomaly,83.3%,Yes,0,0,0,0,Fe,4,0.0089,4,1,6,3,1,0,0,"Cl,Fe,H2O,He-3,Ir,Ni,U,V",,,,8,0,0,0,0%,4,None,Yes,Temperate Thin CO2,Rock Moon None,0
Eridani III-c,,EridaniIIIc,Barren,Moon,Barren Moon,Eridani,20,0.10,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Cold None,Barren Moon None,0
Eridani IV,,EridaniIV,Rock,Planet,Rock Planet,Eridani,20,0.80,Cold,Std M,Weak,Chemical,"Ar,F,H2O,Ha,MA,Nu,Pi,Se,Tx",9,Marginal (3),Marginal (3),"Forest,Ocean,Polar-Ice","Forest,Ocean,Ice",Unknown,75.0%,Yes,0,0,3,0,"Pi,Se",4,0.0000,5,3,3,1,0,3,3,"Ar,F,H2O","Ha,MA,Nu,Pi,Se,Tx","Nu,Se,Tx","Ha,MA,Pi",3,6,3,3,0%,-16,"Corrosive, Fog, Solar Radiation",No,Cold Std M,Rock Planet Weak,0
Eridani IV-a,,EridaniIVa,Barren,Moon,Barren Moon,Eridani,20,0.21,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Cold None,Barren Moon None,0
Eridani IV-b,,EridaniIVb,Barren,Moon,Barren Moon,Eridani,20,0.25,Cold,None,None,None,"Al,Be,Eu,He-3,Nd",5,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,Be,Eu,He-3,Nd",,,,5,0,0,0,,,,,Cold None,Barren Moon None,0
Eridani IV-c,,EridaniIVc,Barren,Moon,Barren Moon,Eridani,20,0.13,Cold,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,Eu,He-3",,,,3,0,0,0,,,,,Cold None,Barren Moon None,0
Eridani IX,,EridaniIX,Ice,Planet,Ice Planet,Eridani,20,0.15,Deep freeze,None,None,Chemical,"H2O,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"H2O,Ni",,,,2,0,0,0,,,,,Deep freeze None,Ice Planet None,0
Eridani V,,EridaniV,Rock,Planet,Rock Planet,Eridani,20,0.54,Cold,Std M,Weak,Safe,"Ag,Cl,H2O,Ni,Pb",5,None,None,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,,4,0.0000,5,3,6,6,3,0,0,"Ag,Cl,H2O,Ni,Pb",,,,5,0,0,0,0%,-48,None,Yes,Cold Std M,Rock Planet Weak,0
Eridani VI,,EridaniVI,Ice giant,Planet,Ice giant Planet,Eridani,20,1.00,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,3,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Weak,0
Eridani VI-a,,EridaniVIa,Ice,Moon,Ice Moon,Eridani,20,0.19,Deep freeze,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Pb",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
